Post ID,Account ID,Account username,Post type,Description,Permalink
17843721573060532,17841461458191255,locwithaush,IG image,"Month 1️⃣ Growth 🥰🫶🏽
•
Day 1 is the first row, Day 26 is the second, and the third row is Day 39 (a few days post retwist) ‼️They’ve shrunk and puffed a good bit ☺️
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",https://www.instagram.com/p/CwoAS1-u-hR/
18099572242342641,17841461458191255,locwithaush,IG image,"Half fro half loc 🤙🏽😂 Day 44
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",https://www.instagram.com/p/CwtM0TKulVe/
17946350234689220,17841461458191255,locwithaush,IG image,"Texture for #texturetuesday ✨Day 45
•
•
•

#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",https://www.instagram.com/p/Cwz6OWFudhM/
18285345307127559,17841461458191255,locwithaush,IG carousel,"Doing something different with my locs 💕 Do you like this style? 👀 This was at Day 46 ☺️
•
If you swipe all the way to the right you’ll see a close up of the back ones… I’ve made the decision to restart the most unraveled one on the very bottom row, because I want them all to be as sturdy & healthy as possible 🫶🏽 This is the journey y’all!
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",https://www.instagram.com/p/Cw5F9k4u18I/
18008042992911504,17841461458191255,locwithaush,IG image,"Bandannas be coming in clutch 🤙🏽 Day 49
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",https://www.instagram.com/p/Cw8J2LsOJuU/
17987404415137620,17841461458191255,locwithaush,IG carousel,"Textureeee • Day 51 💕 They’re getting so thick 🥹
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",https://www.instagram.com/p/CxF-wUsOIsj/
18258131473163986,17841461458191255,locwithaush,IG image,"2nd retwist in 6 days‼️😃 Day 54
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",https://www.instagram.com/p/CxMOZLHO6EY/
18008283538943648,17841461458191255,locwithaush,IG image,"Hope I’m not too late for #texturetuesday ☺️ last post before my 2nd retwist • Day 61 ‼️ stay tuned 🫶🏽💕
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",https://www.instagram.com/p/CxZBtcwuaA9/
17995300094320741,17841461458191255,locwithaush,IG image,"OFFICIALLY 2 MONTHS 🔒 🥹🥳💕 9/20/23 ‼️ yall I tried to do a side part and my locs decided to do wtf it wanted 😂 but I love it tbh my locs have so much personality 🫶🏽 if you’re interested in my self reflection at this point in the journey, read below ☺️
•
For me, part of the journey is surrendering to the natural tendencies of my hair, and allowing it to express itself in the way it wants to. Before locs, I spent way too much time trying to make it do what it doesn’t want to do… and I got so frustrated that I cut it off for a good year! I started regrowing my hair Dec 2021, but even then, I kept experiencing extreme breakage trying to create the largest afro I could possibly have. I kept blow drying my hair, detangling it (DRY cause moisture makes the Afro shrink 🙄), and combed it throughout the day in attempts to keep length in Houston humidity. I truly did not know how to care for my hair, and I hated that my hair never did what I wanted it to do. It took a while to realize the impact societal norms had on my perception of my hair. I grew up getting nothing but perms, quick weaves, sew ins and braids. While I eventually learned to loved my 4c texture, I hated the shrinkage that came along with it. Long hair is such a prevalent (but Eurocentric) beauty norm for women and my hair grew up, not down. So with my loc journey I decided to say fuck that. I’m not concerned with having long locs. IDC about length checks or hang time. I care about fostering a loving relationship I’ve never had with my hair. I care about its health. And if length happens to come then I definitely welcome it! But that’s not the goal. The goal is to finally allow my hair to thrive and simply exist openly & unapologetically. So if my locs decide it wants stick out in the air then fuck it we ball 🤙🏽
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",https://www.instagram.com/p/CxdWx27Ob1W/
18057733150421547,17841461458191255,locwithaush,IG carousel,"Day 66 ☺️ few days post retwist
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",https://www.instagram.com/p/Cxlp2O7OK7G/
18013117540740395,17841461458191255,locwithaush,IG reel,"I love all my followers though 🥺🫶🏽 y’all are the best
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",https://www.instagram.com/reel/Cxn8bhBuufV/
