biography,followers_count,follows_count,media_count,profile_picture_url,id,extraction_datetime,extraction_date,extraction_year,extraction_month,extraction_day,extraction_time
"ᴛʜᴇ ʟᴏᴄ ɢɪʀʟʏ ᴘʀᴀᴄᴛɪᴄɪɴɢ ᴛʜᴇ ᴀʀᴛ ᴏꜰ ꜰᴀɪʟᴜʀᴇ
🫶🏽 | authenticity, locs, hobbies ✨
🪴 | 71 Locs est. on 07.20.23
💌 | locwithaush@gmail.com",2743,212,142,https://scontent-hou1-1.xx.fbcdn.net/v/t51.2885-15/481266977_997353345602937_1719041919639027270_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=7d201b&_nc_ohc=REf1r7EQt70Q7kNvgGIaT6F&_nc_oc=AdlDa724AZPUwOu3d8D9-8mVPLkwlGWtMGm7AaI8grxK5TqI5dzrsInyzSsD2ftXay8_8EsysnDvc8Mj4dP5LwBc&_nc_zt=23&_nc_ht=scontent-hou1-1.xx&edm=AL-3X8kEAAAA&oh=00_AYEF-Er9rbSmkvzqTtS_DhWw2qYsrSRE-Emj1By5-_TkKA&oe=67E3B46E,17841461458191255,2025-03-21 15:32:39.461267,2025-03-21,2025,March,21,15:32:39
"ᴛʜᴇ ʟᴏᴄ ɢɪʀʟʏ ᴘʀᴀᴄᴛɪᴄɪɴɢ ᴛʜᴇ ᴀʀᴛ ᴏꜰ ꜰᴀɪʟᴜʀᴇ
🫶🏽 | authenticity, locs, hobbies ✨
🪴 | 71 Locs est. on 07.20.23
💌 | locwithaush@gmail.com",2747,213,143,https://scontent-hou1-1.xx.fbcdn.net/v/t51.2885-15/481266977_997353345602937_1719041919639027270_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=7d201b&_nc_ohc=REf1r7EQt70Q7kNvgF4wLPg&_nc_oc=AdkSYBucOX6Q3J5j5mIvhvE2Hw5jacNuKrsYfgCulPVn5jVgAwQNnS9F8jEnRVefjlGbK7iqNv7A8zhQ4INOzDi3&_nc_zt=23&_nc_ht=scontent-hou1-1.xx&edm=AL-3X8kEAAAA&oh=00_AYHVBipZCsbj-6rKoYHREp4RtPZjBsd94RgEmF5hwgnPXw&oe=67E505EE,17841461458191255,2025-03-22 15:32:56.543004,2025-03-22,2025,March,22,15:32:56
"🪴 | 71 ʟᴏᴄs est. on 07.20.23
🫶🏽 | sᴇʟғ-ᴍᴀɪɴᴛᴀɪɴᴇᴅ x ᴛᴡᴏ sᴛʀᴀɴᴅ ᴛᴡɪsᴛs
📍 | ʜᴏᴜsᴛᴏɴ, ᴛx
💌 | locwithaush@gmail.com",2759,213,144,https://scontent-hou1-1.xx.fbcdn.net/v/t51.2885-15/481266977_997353345602937_1719041919639027270_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=7d201b&_nc_ohc=xaWqAUtJd4oQ7kNvgFQfbl6&_nc_oc=Adny3OUFYGf0JKJDu8olgTKUJse1wqc6zD13xzoMqhZlxo0XUlG5W3Cu-HAOqXhJH13g7wyf0mChQ4kma5QroCgT&_nc_zt=23&_nc_ht=scontent-hou1-1.xx&edm=AL-3X8kEAAAA&oh=00_AYGa9oWxWlbM26TGRRd_Pun2479FFafXiF3KK9T0jvdu4g&oe=67E7A8EE,17841461458191255,2025-03-24 18:24:21.696310,2025-03-24,2025,March,24,18:24:21
"🪴 | 71 ʟᴏᴄs est. on 07.20.23
🫶🏽 | sᴇʟғ-ᴍᴀɪɴᴛᴀɪɴᴇᴅ x ᴛᴡᴏ sᴛʀᴀɴᴅ ᴛᴡɪsᴛs
📍 | ʜᴏᴜsᴛᴏɴ, ᴛx
💌 | locwithaush@gmail.com",2770,215,146,https://scontent-hou1-1.xx.fbcdn.net/v/t51.2885-15/481266977_997353345602937_1719041919639027270_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=7d201b&_nc_ohc=UrmgwBr0UUQQ7kNvgFIdAD2&_nc_oc=Adl6YX3cTPPuS_uHG3zSytgL79FzsI1M5_r9hl_zCo02felRE3tGYFGnrhhAbWpk0gzSHIwK6yGVWFOSPnVJB3_0&_nc_zt=23&_nc_ht=scontent-hou1-1.xx&edm=AL-3X8kEAAAA&oh=00_AYFgG3eLPZ61RyCOV1Ykrv25US1Sa3oMu3X591GAmyZfew&oe=67EBD5AE,17841461458191255,2025-03-27 20:18:11.265210,2025-03-27,2025,March,27,20:18:11
"🪴 | 71 ʟᴏᴄs est. on 07.20.23
🫶🏽 | sᴇʟғ-ᴍᴀɪɴᴛᴀɪɴᴇᴅ x ᴛᴡᴏ sᴛʀᴀɴᴅ ᴛᴡɪsᴛs
📍 | ʜᴏᴜsᴛᴏɴ, ᴛx
💌 | locwithaush@gmail.com",2776,216,146,https://scontent-hou1-1.xx.fbcdn.net/v/t51.2885-15/481266977_997353345602937_1719041919639027270_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=7d201b&_nc_ohc=UrmgwBr0UUQQ7kNvgHfcU4a&_nc_oc=AdlYUD_kJLmKBefHJ75SiVXoPOLmbMDvnDjWnCjjy3jUVLWXJz8KOK9Symq3vnp-QeIWJHpFZhOjFDPC6yRnWSXL&_nc_zt=23&_nc_ht=scontent-hou1-1.xx&edm=AL-3X8kEAAAA&oh=00_AYHUsfmB9nHGwNcZMYB6c5B0lSWcl-fG1bTtFwtBaOEIeA&oe=67EEB0EE,17841461458191255,2025-03-29 23:20:39.406798,2025-03-29,2025,March,29,23:20:39
"🪴 | 71 ʟᴏᴄs est. on 07.20.23
🫶🏽 | sᴇʟғ-ᴍᴀɪɴᴛᴀɪɴᴇᴅ x ᴛᴡᴏ sᴛʀᴀɴᴅ ᴛᴡɪsᴛs
📍 | ʜᴏᴜsᴛᴏɴ, ᴛx
💌 | locwithaush@gmail.com",2781,216,147,https://scontent-hou1-1.xx.fbcdn.net/v/t51.2885-15/481266977_997353345602937_1719041919639027270_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=7d201b&_nc_ohc=tfc3FpujEWIQ7kNvgHIHD9N&_nc_oc=AdlJKvOM6W00f_yCrtz_hV-wJN_R3Ca0WSbHXivJURaFTAFRdp8gtY6BmEmKOSpmgxyeUyFUHJ_w_TK42EH9nj_O&_nc_zt=23&_nc_ht=scontent-hou1-1.xx&edm=AL-3X8kEAAAA&oh=00_AYH45ou3iyIqkGhxJ83vajVuUF39coT3RoG2D66WSnSfJQ&oe=67F0026E,17841461458191255,2025-03-30 23:20:48.817247,2025-03-30,2025,March,30,23:20:48
"🪴 | 71 ʟᴏᴄs est. on 07.20.23
🫶🏽 | sᴇʟғ-ᴍᴀɪɴᴛᴀɪɴᴇᴅ x ᴛᴡᴏ sᴛʀᴀɴᴅ ᴛᴡɪsᴛs
📍 | ʜᴏᴜsᴛᴏɴ, ᴛx
💌 | locwithaush@gmail.com",2785,217,148,https://scontent-hou1-1.xx.fbcdn.net/v/t51.2885-15/481266977_997353345602937_1719041919639027270_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=7d201b&_nc_ohc=tfc3FpujEWIQ7kNvgHLRKQc&_nc_oc=AdnwFuk4HrfuXcGZmep6i70TEdQ22sJ5dvnJg7sqHrOpo7SW-m_5zc5hdb54gppau_Bzsto7vLupMNKbK_pjpIRR&_nc_zt=23&_nc_ht=scontent-hou1-1.xx&edm=AL-3X8kEAAAA&oh=00_AYEMohSadREpBlw_Gu_7-fYhs9P_EtHUzmHLj8jbrqfd9Q&oe=67F153EE,17841461458191255,2025-03-31 23:21:04.347441,2025-03-31,2025,March,31,23:21:04
"✦ 𝗹𝗼𝗰𝘀 ✦ 𝘄𝗲𝗹𝗹𝗻𝗲𝘀𝘀 ✦ 𝗹𝗶𝗳𝗲𝘀𝘁𝘆𝗹𝗲 ✦
🪴 | 71 ʟᴏᴄs est. on 07.20.23
📍 | ʜᴏᴜsᴛᴏɴ, ᴛx
💌 | locwithaush@gmail.com",2791,217,149,https://scontent-hou1-1.xx.fbcdn.net/v/t51.2885-15/481266977_997353345602937_1719041919639027270_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=7d201b&_nc_ohc=tfc3FpujEWIQ7kNvgG3Kh80&_nc_oc=AdnCeMNyTSDGapxyorA3__npsPI3f9s20Ocb79oX_gVo_XSsSyyJN6m-dYOfx8dco_c7Ya8E2HB9VtCmN6bwAh89&_nc_zt=23&_nc_ht=scontent-hou1-1.xx&edm=AL-3X8kEAAAA&oh=00_AYFWcnXeXbs0VABvFVqWL4uVNO6yMylJn0KroJym_YbILg&oe=67F234EE,17841461458191255,2025-04-01 16:52:19.058239,2025-04-01,2025,April,1,16:52:19
"✦ 𝗹𝗼𝗰𝘀 ✦ 𝘄𝗲𝗹𝗹𝗻𝗲𝘀𝘀 ✦ 𝗹𝗶𝗳𝗲𝘀𝘁𝘆𝗹𝗲 ✦
🪴 | 71 ʟᴏᴄs est. on 07.20.23
📍 | ʜᴏᴜsᴛᴏɴ, ᴛx
💌 | locwithaush@gmail.com",2788,217,150,https://scontent-dfw5-2.xx.fbcdn.net/v/t51.2885-15/481266977_997353345602937_1719041919639027270_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=7d201b&_nc_ohc=H-HEt6jMN7cQ7kNvgEGQsvC&_nc_oc=AdlQIcDngGBYtIpYA7bkh8LuJ956yWDq4Bb0Xz_Pt--SsIJQTDyAtEVLl5lQZZ4GecTZ2IS9tAq4Q6lkxM-1Z5m7&_nc_zt=23&_nc_ht=scontent-dfw5-2.xx&edm=AL-3X8kEAAAA&oh=00_AYFmE1IRNH69GmRyBm7IGuerbVvFen2FQtLfq0TRe7gnSw&oe=67F3866E,17841461458191255,2025-04-02 16:52:40.013681,2025-04-02,2025,April,2,16:52:40
"✦ 𝗹𝗼𝗰𝘀 ✦ 𝘄𝗲𝗹𝗹𝗻𝗲𝘀𝘀 ✦ 𝗹𝗶𝗳𝗲𝘀𝘁𝘆𝗹𝗲 ✦
🪴 | 71 ʟᴏᴄs est. on 07.20.23
📍 | ʜᴏᴜsᴛᴏɴ, ᴛx
💌 | locwithaush@gmail.com",2791,217,150,https://scontent-dfw5-2.xx.fbcdn.net/v/t51.2885-15/481266977_997353345602937_1719041919639027270_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=7d201b&_nc_ohc=H-HEt6jMN7cQ7kNvwENBXmQ&_nc_oc=AdlsTEre1A7g9CIU1HCvgv7_rm_Kju4gLryt-BirH1Z-yJb7LabRS5kNTBBrR1oAwEmVKbP2HW7Z1SzFnQEOKKwq&_nc_zt=23&_nc_ht=scontent-dfw5-2.xx&edm=AL-3X8kEAAAA&oh=00_AYHjM7P6pbfKp-h4gxNNzlmHBMmJtXmJjPq1_ewZxp3VZQ&oe=67F4D7EE,17841461458191255,2025-04-03 16:53:01.376215,2025-04-03,2025,April,3,16:53:01
